generator,ACC,AP,R_ACC,F_ACC,N_real,N_fake
sd_1_5,0.8685,0.9760616044468364,0.984,0.753,1000,1000
sd_3_5_large,0.5755,0.895829450268272,0.984,0.167,1000,1000
sdxl_turbo,0.597,0.8817262333483039,0.984,0.21,1000,1000
z_image_turbo,0.6365,0.9222964732343415,0.984,0.289,1000,1000
flux_1_dev,0.711,0.9485038199470851,0.984,0.438,1000,1000
flux_fill_flux_1_dev,0.6895,0.9413234795954961,0.984,0.395,1000,1000
flux_fill_sd_3_5_large,0.6025,0.9078082594937182,0.984,0.221,1000,1000
flux_fill_real_rescaled,0.492,0.5049499658549782,0.9,0.084,1000,1000
