generator,ACC,AP,R_ACC,F_ACC,N_real,N_fake
sd_1_5,0.4865,0.5441314260892326,0.925,0.048,1000,1000
sd_3_5_large,0.464,0.4135581084472086,0.925,0.003,1000,1000
sdxl_turbo,0.465,0.4359069355972886,0.925,0.005,1000,1000
z_image_turbo,0.463,0.3828832671480314,0.925,0.001,1000,1000
flux_1_dev,0.4665,0.3968428427526907,0.925,0.008,1000,1000
flux_fill_flux_1_dev,0.466,0.4073695036353937,0.925,0.007,1000,1000
flux_fill_sd_3_5_large,0.4645,0.41664717478041746,0.925,0.004,1000,1000
flux_fill_real_rescaled,0.4975,0.5621763265840387,0.985,0.01,1000,1000
