generator,ACC,AP,R_ACC,F_ACC,N_real,N_fake
sd_1_5,0.7905,0.9770013184952921,1.0,0.581,1000,1000
sd_3_5_large,0.656,0.9691458658096187,1.0,0.312,1000,1000
sdxl_turbo,0.5725,0.8964268668294587,1.0,0.145,1000,1000
z_image_turbo,0.697,0.9713326898538857,1.0,0.394,1000,1000
flux_1_dev,0.757,0.9812168717279591,1.0,0.514,1000,1000
flux_fill_flux_1_dev,0.7345,0.9747463500770188,1.0,0.469,1000,1000
flux_fill_sd_3_5_large,0.638,0.9634454537316934,1.0,0.276,1000,1000
flux_fill_real_rescaled,0.499,0.5024961443657587,0.915,0.083,1000,1000
